YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-04,WEEKDAY,17,TRAIN,NS5,42721,60367
2025-04,WEEKDAY,23,TRAIN,EW25,1312,6004
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,DT21,3361,4342
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NE17/PTC,18155,21855
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NS13,19442,29924
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,SE5,1138,1348
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,TE12,2215,1373
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,TE12,2836,1998
2025-04,WEEKDAY,7,TRAIN,CC5,3373,6284
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT10,790,964
2025-04,WEEKDAY,16,TRAIN,PE5,5438,8321
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,408,1118
2025-04,WEEKDAY,12,TRAIN,DT23,3963,3511
2025-04,WEEKDAY,15,TRAIN,EW16/NE3/TE17,39934,25574
2025-04,WEEKDAY,16,TRAIN,EW33,5821,3895
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,DT6,4413,2395
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,TE18,7286,5107
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NS2,7894,15375
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW33,3524,2494
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,PE3,281,70
2025-04,WEEKDAY,13,TRAIN,EW30,1239,1670
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,CC24,42,57
2025-04,WEEKDAY,22,TRAIN,CC20,1475,3436
2025-04,WEEKDAY,20,TRAIN,EW26,17870,53950
2025-04,WEEKDAY,12,TRAIN,EW19,14894,11837
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,PW6,975,842
2025-04,WEEKDAY,5,TRAIN,NE14,7673,1120
2025-04,WEEKDAY,23,TRAIN,EW6,1249,6488
2025-04,WEEKDAY,14,TRAIN,NS8,14989,13059
2025-04,WEEKDAY,17,TRAIN,CC5,13361,5228
2025-04,WEEKDAY,19,TRAIN,TE6,8141,29582
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT22,6484,3911
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,PE5,1543,3453
2025-04,WEEKDAY,11,TRAIN,BP13,1332,775
2025-04,WEEKDAY,10,TRAIN,CC5,2377,5113
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,CC16,4933,2363
2025-04,WEEKDAY,9,TRAIN,NE15,39466,8567
2025-04,WEEKDAY,23,TRAIN,EW8/CC9,11202,10156
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NS23,5988,19655
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,NS14,7649,16958
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW16/NE3/TE17,5603,10634
2025-04,WEEKENDS/HOLIDAY,18,TRAIN,TE4,3729,3216
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,SW2,592,600
2025-04,WEEKDAY,8,TRAIN,PW1,864,2624
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,PE3,558,2271
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,NS5,13559,12938
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,NS4/BP1,9574,18335
2025-04,WEEKDAY,19,TRAIN,DT25,5231,9258
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,CC23,1019,2840
2025-04,WEEKDAY,13,TRAIN,TE25,2413,3000
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,NS11,17134,17581
2025-04,WEEKDAY,18,TRAIN,EW33,11818,14178
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,EW8/CC9,5975,3192
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,NE18,4484,5367
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,EW30,1175,2723
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,BP9,1961,1265
2025-04,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1703,2534
2025-04,WEEKDAY,20,TRAIN,NS7,19915,38738
2025-04,WEEKDAY,13,TRAIN,EW22,11543,12682
2025-04,WEEKDAY,19,TRAIN,PE5,3977,16126
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,NS13,783,3953
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,DT27,4351,3544
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,EW10,5581,6970
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6006,4975
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW23,14238,13814
2025-04,WEEKDAY,0,TRAIN,CC11,124,556
2025-04,WEEKDAY,0,TRAIN,CC16,31,324
2025-04,WEEKDAY,14,TRAIN,SW3,2428,2216
2025-04,WEEKDAY,6,TRAIN,TE4,6325,3666
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,NE13,3429,2483
2025-04,WEEKDAY,14,TRAIN,TE12,4582,6537
2025-04,WEEKDAY,5,TRAIN,DT6,348,195
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,NS16,3663,342
2025-04,WEEKDAY,19,TRAIN,DT18,46885,12397
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,NS17/CC15,17622,6114
2025-04,WEEKDAY,6,TRAIN,EW28,72983,15250
2025-04,WEEKDAY,15,TRAIN,NS10,25377,33061
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,EW32,1776,1079
2025-04,WEEKDAY,21,TRAIN,EW20,7555,13456
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,PW5,1920,1170
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,BP9,139,584
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,CC6,5460,9262
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,CC17/TE9,1484,617
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,CC2,971,883
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,SW8,296,1141
2025-04,WEEKDAY,13,TRAIN,DT4,1586,1818
